,team_name,goals,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,Belgium,4.0,20.7,9.2,7.8,3.7,1.0,89.0,711.5,634.4,62.3,52.06,26.7,13.9,11.1,48.0,3.3,8.7,2.0,37.5,2.5,10.6,1.6,0.3,0.0,0.0,0.7,11.0,8.6,0.6,0.0
1,Italy,3.7,20.5,8.1,7.5,4.9,1.0,89.5,680.9,609.9,65.3,50.45,22.6,11.4,12.6,40.8,2.7,7.3,2.5,34.0,4.3,11.4,2.1,0.4,0.0,0.0,0.6,10.4,10.6,1.2,0.0
2,England,4.625,13.75,8.0,2.625,3.125,1.0,89.0,684.75,612.0,62.0,45.95,18.5,8.5,9.375,39.5,3.375,4.25,1.625,33.0,2.5,12.375,2.5,0.75,0.0,0.0,0.625,10.25,8.875,1.125,0.0
3,Russia,3.3,20.7,7.6,8.7,4.3,1.0,85.4,610.8,524.0,60.0,51.78,30.9,16.0,11.1,48.5,2.3,8.7,2.7,39.2,3.0,14.4,1.4,0.8,0.0,0.0,0.7,11.8,8.9,1.1,0.1
4,Spain,3.1,22.7,8.3,8.0,6.4,1.0,90.8,788.8,717.2,70.41,52.88,33.1,17.5,11.8,54.2,2.6,10.0,2.4,34.0,4.1,12.6,1.8,0.5,0.0,0.0,0.5,8.6,11.1,1.8,0.1
5,Germany,3.75,19.875,8.5,7.125,4.25,1.0,90.13,779.5,707.0,62.13,53.48,18.0,9.625,9.75,42.75,3.25,6.75,2.875,34.625,2.75,15.0,2.5,0.875,0.125,0.125,0.625,8.625,8.375,0.375,0.125
6,France,2.5,16.9,6.7,7.8,2.4,1.0,89.5,736.8,661.6,67.91,49.43,26.1,12.9,11.5,50.4,2.1,6.9,3.3,33.9,3.2,9.9,1.0,0.6,0.0,0.0,0.5,11.2,9.3,1.4,0.0
7,Netherlands,3.0,17.625,7.375,6.125,4.125,1.0,88.75,675.75,600.125,65.38,50.26,24.125,12.125,11.0,42.75,2.625,5.0,2.25,37.25,4.125,10.875,1.375,0.875,0.0,0.0,0.5,10.875,9.375,1.125,0.0
8,Sweden,2.3,14.7,6.3,4.6,3.8,1.0,83.3,478.6,406.1,51.1,47.2,21.4,10.1,14.3,33.8,1.8,5.7,1.8,34.3,2.3,23.5,2.5,0.9,0.0,0.0,0.5,13.0,12.2,1.6,0.0
9,Denmark,2.875,17.375,6.25,7.25,3.875,1.0,85.25,567.625,486.875,56.75,46.02,20.375,9.375,13.375,37.125,1.875,6.375,1.5,36.375,2.375,18.625,1.75,0.75,0.0,0.0,0.5,10.375,10.875,0.875,0.0
10,Portugal,2.75,22.625,8.625,7.875,6.125,1.0,88.13,658.125,582.0,61.0,42.86,30.625,13.125,12.0,41.5,1.625,8.875,1.875,42.125,2.0,9.75,1.75,0.75,0.0,0.0,0.5,10.125,11.125,0.75,0.0
