,team_name,goals,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,Italy,1.8571428571428572,18.285714285714285,5.142857142857143,8.428571428571429,4.714285714285714,1.0,87.0,611.7142857142857,535.8571428571429,53.58,31.47,12.714285714285714,4.0,16.142857142857142,54.714285714285715,1.5714285714285714,4.428571428571429,4.0,41.57142857142857,14.142857142857142,15.285714285714286,1.2857142857142858,0.5714285714285714,0.0,0.0,0.42857142857142855,13.285714285714286,14.285714285714286,1.7142857142857142,0.0
1,Spain,2.1666666666666665,18.5,7.166666666666667,7.166666666666667,4.166666666666667,1.0,89.34,873.1666666666666,781.3333333333334,66.84,25.95,26.333333333333332,6.833333333333333,20.166666666666668,72.0,2.1666666666666665,7.833333333333333,1.5,44.5,9.666666666666666,10.5,1.5,1.0,0.16666666666666666,0.0,0.3333333333333333,12.0,16.666666666666668,1.0,0.0
2,Denmark,2.0,16.0,6.666666666666667,5.0,4.333333333333333,1.0,82.5,509.3333333333333,422.5,52.17,23.44,21.333333333333332,5.0,13.166666666666666,46.666666666666664,1.3333333333333333,6.5,0.6666666666666666,44.166666666666664,13.166666666666666,18.833333333333332,3.0,1.1666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,12.5,11.166666666666666,0.8333333333333334,0.0
3,England,1.5714285714285714,9.142857142857142,3.7142857142857144,4.142857142857143,1.2857142857142858,1.0,86.29,546.4285714285714,474.85714285714283,52.0,29.42,14.571428571428571,4.285714285714286,15.142857142857142,42.285714285714285,1.4285714285714286,4.142857142857143,2.0,37.714285714285715,9.285714285714286,20.714285714285715,2.2857142857142856,0.2857142857142857,0.0,0.0,0.7142857142857143,10.142857142857142,12.571428571428571,0.8571428571428571,0.0
4,Belgium,1.8,9.6,3.8,3.4,2.4,1.0,87.0,589.8,515.0,52.6,8.0,10.0,0.8,11.4,37.4,1.4,4.0,1.2,39.4,12.0,17.2,2.8,0.6,0.0,0.0,0.6,12.6,8.6,0.8,0.0
5,Switzerland,1.6,13.8,4.4,6.2,3.2,1.0,84.6,503.0,429.2,48.6,28.41,17.6,5.0,13.6,42.0,1.6,7.2,2.6,42.4,16.8,22.6,4.2,1.8,0.2,0.0,0.0,12.6,12.4,2.2,0.2
6,Netherlands,2.0,13.25,4.0,5.75,3.5,1.0,82.5,554.0,462.25,54.75,17.86,14.0,2.5,10.75,41.75,1.25,5.0,2.25,50.25,8.75,12.75,2.0,1.0,0.0,0.0,0.5,10.0,9.75,0.75,0.25
7,France,1.75,14.25,4.5,7.5,2.25,1.0,89.0,597.5,533.25,51.75,15.88,15.75,2.5,12.75,47.5,1.0,3.75,2.0,40.0,12.5,15.25,2.0,1.5,0.0,0.25,0.25,12.75,11.5,2.0,0.0
8,Portugal,1.75,13.25,4.75,6.5,2.0,1.0,88.5,581.5,513.75,53.5,23.29,18.25,4.25,14.25,48.25,1.0,3.75,1.5,40.75,13.0,11.5,2.75,1.75,0.5,0.0,0.25,9.5,13.0,1.0,0.0
9,Croatia,1.75,10.5,4.0,4.5,2.0,1.0,85.0,500.5,429.25,49.5,19.61,12.75,2.5,11.75,35.75,1.25,2.75,3.25,38.5,13.5,22.0,2.5,2.0,0.0,0.0,0.0,13.25,9.25,1.75,0.0
10,Czechia,1.2,11.4,3.8,4.8,2.8,1.0,77.41,426.2,330.2,47.6,28.89,18.0,5.2,10.0,38.6,0.8,5.6,2.0,44.2,10.4,24.4,2.8,0.8,0.0,0.0,0.4,10.2,7.4,1.4,0.0
11,Ukraine,1.2,10.4,4.0,3.8,2.6,1.0,86.6,549.8,477.0,48.6,29.04,12.4,3.6,10.2,35.4,1.2,3.0,1.6,42.6,13.4,23.4,3.0,2.0,0.0,0.2,0.0,8.8,8.0,0.8,0.0
12,Germany,1.5,12.0,4.25,5.0,2.75,1.0,89.25,655.5,585.25,59.25,24.22,23.75,5.75,10.25,50.75,1.25,4.25,1.75,38.75,17.25,15.5,1.25,1.75,0.25,0.0,0.0,10.5,8.0,1.75,0.0
13,Austria,1.25,13.25,3.75,6.0,3.5,1.0,81.5,576.5,470.5,52.5,34.33,16.75,5.75,13.75,48.25,1.25,5.25,1.25,51.75,16.25,19.25,2.0,1.25,0.0,0.0,0.25,13.75,12.0,1.5,0.0
14,Sweden,1.25,10.5,2.75,5.0,2.75,1.0,71.0,380.5,293.0,38.25,19.3,14.25,2.75,10.75,35.25,0.75,5.0,1.0,38.5,9.0,34.0,3.0,1.0,0.0,0.0,0.5,12.75,8.0,1.25,0.25
15,Poland,1.3333333333333333,13.333333333333334,3.6666666666666665,6.333333333333333,3.3333333333333335,1.0,75.67,433.0,339.3333333333333,49.34,21.18,28.333333333333332,6.0,14.666666666666666,51.0,1.3333333333333333,5.333333333333333,1.0,42.333333333333336,16.333333333333332,21.333333333333332,2.0,2.0,0.3333333333333333,0.0,0.0,15.333333333333334,13.0,2.6666666666666665,0.3333333333333333
16,Wales,0.75,9.75,2.75,3.75,3.25,1.0,79.25,324.75,259.0,41.75,34.0,12.5,4.25,14.5,28.5,0.75,3.25,0.0,34.0,10.75,26.25,4.5,1.5,0.0,0.0,0.25,9.25,12.25,2.25,0.5
17,Hungary,1.0,6.0,3.3333333333333335,2.0,0.6666666666666666,1.0,77.34,308.6666666666667,240.0,34.67,18.19,7.333333333333333,1.3333333333333333,14.0,16.0,1.0,0.6666666666666666,0.6666666666666666,49.0,20.666666666666668,24.666666666666668,3.6666666666666665,2.0,0.0,0.0,0.0,12.333333333333334,12.0,2.0,0.0
18,North Macedonia,0.6666666666666666,10.666666666666666,2.6666666666666665,5.333333333333333,2.6666666666666665,1.0,79.67,404.0,323.3333333333333,43.67,22.23,12.0,2.6666666666666665,13.333333333333334,28.666666666666668,0.0,3.3333333333333335,1.3333333333333333,43.0,12.666666666666666,14.666666666666666,4.666666666666667,2.6666666666666665,0.0,0.3333333333333333,0.0,11.0,11.0,2.6666666666666665,0.0
19,Russia,0.6666666666666666,8.333333333333334,2.0,4.666666666666667,1.6666666666666667,1.0,77.0,421.3333333333333,330.6666666666667,44.34,28.89,15.0,4.333333333333333,12.333333333333334,40.0,0.3333333333333333,3.0,3.0,47.333333333333336,14.666666666666666,20.666666666666668,2.6666666666666665,2.3333333333333335,0.0,0.0,0.3333333333333333,12.666666666666666,11.666666666666666,1.6666666666666667,0.0
20,Slovakia,0.6666666666666666,8.0,0.6666666666666666,4.0,3.3333333333333335,1.0,84.34,467.6666666666667,397.0,46.34,43.75,10.666666666666666,4.666666666666667,13.0,20.666666666666668,0.6666666666666666,2.6666666666666665,1.6666666666666667,35.0,13.666666666666666,26.666666666666668,3.6666666666666665,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.0,11.333333333333334,12.333333333333334,2.0,0.0
21,Scotland,0.3333333333333333,14.0,3.3333333333333335,4.0,6.666666666666667,1.0,79.67,394.6666666666667,313.6666666666667,44.0,30.16,21.0,6.333333333333333,12.333333333333334,34.666666666666664,0.0,6.0,0.6666666666666666,40.0,10.333333333333334,18.0,3.3333333333333335,1.6666666666666667,0.0,0.0,0.3333333333333333,9.333333333333334,8.333333333333334,1.0,0.0
22,Türkiye,0.3333333333333333,13.0,3.6666666666666665,5.0,4.333333333333333,1.0,83.67,469.6666666666667,395.6666666666667,48.67,41.82,18.333333333333332,7.666666666666667,11.333333333333334,32.0,0.3333333333333333,6.666666666666667,1.3333333333333333,36.0,13.666666666666666,22.666666666666668,6.0,2.6666666666666665,0.3333333333333333,0.0,0.0,16.0,9.666666666666666,2.3333333333333335,0.0
23,Finland,0.3333333333333333,6.333333333333333,1.0,1.6666666666666667,3.6666666666666665,1.0,78.34,382.0,305.6666666666667,40.67,38.1,7.0,2.6666666666666665,12.333333333333334,22.0,0.3333333333333333,0.3333333333333333,1.0,40.333333333333336,14.333333333333334,37.666666666666664,4.666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,10.666666666666666,1.3333333333333333,0.0
