,team_name,goals,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,Portugal,36.0,193.0,81.0,69.0,43.0,10.0,89.6,6834.0,6136.0,63.3,28.17,245.0,69.0,108.0,529.0,28.0,72.0,25.0,422.0,85.0,101.0,16.0,2.0,0.0,0.0,9.0,92.0,98.0,11.0,0.0
1,France,29.0,166.0,63.0,60.0,43.0,8.0,90.0,5341.0,4824.0,60.13,31.15,183.0,57.0,92.0,401.0,17.0,45.0,15.0,297.0,99.0,85.0,15.0,3.0,0.0,1.0,6.0,79.0,76.0,12.0,0.0
2,Spain,25.0,142.0,54.0,56.0,32.0,8.0,90.75,5815.0,5280.0,67.63,28.58,210.0,60.0,88.0,465.0,22.0,55.0,18.0,276.0,69.0,74.0,11.0,5.0,0.0,0.0,4.0,78.0,75.0,16.0,0.0
3,Switzerland,22.0,163.0,59.0,73.0,31.0,10.0,89.4,6709.0,6005.0,66.41,24.61,256.0,63.0,104.0,495.0,16.0,59.0,26.0,359.0,75.0,110.0,14.0,11.0,0.0,0.0,3.0,92.0,86.0,19.0,1.0
4,Iceland,22.0,134.0,58.0,46.0,30.0,12.0,78.42,5116.0,4078.0,50.17,18.28,197.0,36.0,144.0,418.0,14.0,54.0,12.0,406.0,102.0,214.0,41.0,19.0,0.0,0.0,3.0,148.0,114.0,25.0,2.0
5,Belgium,22.0,119.0,42.0,43.0,34.0,8.0,86.0,3962.0,3422.0,58.13,26.54,147.0,39.0,90.0,333.0,20.0,61.0,11.0,258.0,65.0,113.0,16.0,4.0,1.0,0.0,5.0,69.0,78.0,13.0,1.0
6,England,22.0,100.0,46.0,29.0,25.0,8.0,89.75,5107.0,4604.0,62.63,34.17,120.0,41.0,100.0,326.0,13.0,36.0,7.0,273.0,69.0,76.0,5.0,4.0,0.0,1.0,4.0,74.0,93.0,14.0,1.0
7,Slovenia,20.0,125.0,42.0,49.0,34.0,10.0,81.3,5057.0,4187.0,53.9,28.58,140.0,40.0,128.0,345.0,14.0,38.0,21.0,357.0,93.0,186.0,23.0,9.0,0.0,0.0,4.0,113.0,113.0,10.0,0.0
8,Denmark,19.0,156.0,54.0,64.0,38.0,10.0,87.1,6889.0,6019.0,64.2,27.72,267.0,74.0,130.0,542.0,16.0,82.0,9.0,373.0,82.0,102.0,11.0,10.0,0.0,0.0,3.0,85.0,107.0,14.0,0.0
9,Greece,19.0,143.0,45.0,53.0,45.0,10.0,86.0,5185.0,4489.0,52.4,21.5,228.0,49.0,110.0,359.0,14.0,68.0,19.0,366.0,111.0,175.0,29.0,8.0,0.0,1.0,5.0,112.0,100.0,28.0,2.0
10,Finland,19.0,122.0,41.0,43.0,38.0,11.0,83.37,6092.0,5121.0,55.0,25.2,127.0,32.0,143.0,323.0,12.0,46.0,15.0,419.0,99.0,166.0,35.0,14.0,0.0,0.0,5.0,127.0,116.0,15.0,0.0
11,Netherlands,17.0,142.0,51.0,50.0,41.0,8.0,88.13,4712.0,4175.0,57.38,26.81,194.0,52.0,92.0,332.0,14.0,58.0,10.0,299.0,87.0,99.0,14.0,7.0,0.0,0.0,5.0,98.0,77.0,12.0,0.0
12,Austria,17.0,133.0,53.0,53.0,27.0,8.0,81.75,3633.0,2994.0,55.13,26.67,150.0,40.0,96.0,320.0,10.0,42.0,16.0,313.0,99.0,128.0,15.0,7.0,0.0,0.0,3.0,80.0,86.0,15.0,1.0
